ticker,sector
ABB.NS,INFRA
ADANIENSOL.NS,POWER
ADANIENT.NS,METAL
ADANIGREEN.NS,POWER
ADANIPORTS.NS,INFRA
ADANIPOWER.NS,POWER
AMBUJACEM.NS,CEMENT
APOLLOHOSP.NS,PHARMA
ASIANPAINT.NS,CONSUMER
AXISBANK.NS,BANK
BAJAJ-AUTO.NS,AUTO
BAJAJFINSV.NS,INSURANCE
BAJAJHLDNG.NS,NBFC
BAJFINANCE.NS,NBFC
BANKBARODA.NS,BANK
BEL.NS,INFRA
BHARTIARTL.NS,TELECOM
BOSCHLTD.NS,AUTO
BPCL.NS,ENERGY
BRITANNIA.NS,FMCG
CANBK.NS,BANK
CGPOWER.NS,INFRA
CHOLAFIN.NS,NBFC
CIPLA.NS,PHARMA
COALINDIA.NS,METAL
CUMMINSIND.NS,INFRA
DIVISLAB.NS,PHARMA
DLF.NS,REALTY
DMART.NS,CONSUMER
DRREDDY.NS,PHARMA
EICHERMOT.NS,AUTO
ETERNAL.NS,CONSUMER
GAIL.NS,ENERGY
GODREJCP.NS,FMCG
GRASIM.NS,CEMENT
HAL.NS,INFRA
HCLTECH.NS,IT
HDFCAMC.NS,INSURANCE
HDFCBANK.NS,BANK
HDFCLIFE.NS,INSURANCE
HINDALCO.NS,METAL
HINDUNILVR.NS,FMCG
HINDZINC.NS,METAL
HYUNDAI.NS,AUTO
ICICIBANK.NS,BANK
INDHOTEL.NS,CONSUMER
INDIGO.NS,INFRA
INFY.NS,IT
IOC.NS,ENERGY
IRFC.NS,NBFC
ITC.NS,FMCG
JINDALSTEL.NS,METAL
JIOFIN.NS,NBFC
JSWSTEEL.NS,METAL
KOTAKBANK.NS,BANK
LODHA.NS,REALTY
LT.NS,INFRA
M&M.NS,AUTO
MARUTI.NS,AUTO
MAXHEALTH.NS,PHARMA
MAZDOCK.NS,INFRA
MOTHERSON.NS,AUTO
MUTHOOTFIN.NS,NBFC
NESTLEIND.NS,FMCG
NTPC.NS,POWER
ONGC.NS,ENERGY
PFC.NS,NBFC
PIDILITIND.NS,CHEMICALS
PNB.NS,BANK
POWERGRID.NS,POWER
RECLTD.NS,NBFC
RELIANCE.NS,ENERGY
SBILIFE.NS,INSURANCE
SBIN.NS,BANK
SHREECEM.NS,CEMENT
SHRIRAMFIN.NS,NBFC
SIEMENS.NS,INFRA
SOLARINDS.NS,CHEMICALS
SUNPHARMA.NS,PHARMA
TATACONSUM.NS,FMCG
TATAMOTORS.NS,AUTO
TATAPOWER.NS,POWER
TATASTEEL.NS,METAL
TCS.NS,IT
TECHM.NS,IT
TITAN.NS,CONSUMER
TORNTPHARM.NS,PHARMA
TRENT.NS,CONSUMER
TVSMOTOR.NS,AUTO
ULTRACEMCO.NS,CEMENT
UNIONBANK.NS,BANK
UNITDSPR.NS,FMCG
VBL.NS,FMCG
VEDL.NS,METAL
WIPRO.NS,IT
ZYDUSLIFE.NS,PHARMA
